Search terms report
"January 17, 2024 - February 15, 2024"
Search term,Match type,Added/Excluded,Campaign,Ad group,Keyword,Impr.,Interactions,Clicks,Currency code,Cost,Conversions,Campaign type
gopulse com,Broad match,None,G_S_NB_Generic_FL,Solar Leasing/Financing,solar lease companies,1,0,0,USD,0.00,0.00,Search
q peak blk g4 1 295,Phrase match (close variant),None,G_S_NB_Generic_FL,Solar Panels,solar panel,1,0,0,USD,0.00,0.00,Search
pros and cons of solar panels on my roof,Phrase match,None,G_S_NB_Generic_FL,Solar Panels,solar panels,1,0,0,USD,0.00,0.00,Search
powerwall 3 price,Broad match,None,G_S_NB_Generic_FL,Solar Installation,solar installation,1,0,0,USD,0.00,0.00,Search
florida government solar program,Broad match,None,G_S_NB_Generic_FL,Solar Installation,solar installation,1,0,0,USD,0.00,0.00,Search
fl solar program,Exact match (close variant),None,G_S_NB_Generic_FL,Florida,[solar incentives in florida],1,0,0,USD,0.00,0.00,Search
solar share,Broad match,None,G_S_NB_Generic_FL,Solar Panels,solar power panel,1,0,0,USD,0.00,0.00,Search
solary energia solar,Broad match,None,G_S_NB_Generic_FL,Home/Residential Solar,solar panels for home,1,0,0,USD,0.00,0.00,Search
solar generator for computer,Broad match,None,G_S_NB_Generic_FL,Solar Systems,solar power systems,1,0,0,USD,0.00,0.00,Search
solar tiles for roof,Exact match (close variant),None,G_S_NB_Generic_FL,Solar Panels,[solar roof tiles],2,0,0,USD,0.00,0.00,Search
solar panels loan,Broad match,None,G_S_NB_Generic_FL,Solar Calculator,solar panel cost calculator,1,0,0,USD,0.00,0.00,Search
solar system for whole house,Phrase match (close variant),None,G_S_NB_Generic_FL,Solar Panels,solar panels,1,0,0,USD,0.00,0.00,Search
aprender energia solar,Broad match,None,G_S_NB_Generic_FL,Solar Panels,understanding solar power,1,0,0,USD,0.00,0.00,Search
propane solar generator,Broad match,None,G_S_NB_Generic_FL,Solar Panels,solar panel system,1,0,0,USD,0.00,0.00,Search
negatives of solar panels,Broad match,None,G_S_NB_Generic_FL,Solar Calculator,is solar worth it,1,0,0,USD,0.00,0.00,Search
enphase battery,Phrase match (close variant),None,G_S_NB_Generic_FL,Home/Residential Solar,solar battery for house,1,0,0,USD,0.00,0.00,Search
price of solar panels for home,Broad match,None,G_S_NB_Generic_FL,Solar Leasing/Financing,solar lease vs buy,1,0,0,USD,0.00,0.00,Search
que placas solares son las mejores,Broad match,None,G_S_NB_Generic_FL,Solar Installation,solar installation,2,0,0,USD,0.00,0.00,Search
lightreach solar,Broad match,None,G_S_NB_Generic_FL,Solar Panels,solar panel,3,0,0,USD,0.00,0.00,Search
how do solar power work,Broad match,None,G_S_NB_Generic_FL,Solar Panels,solar panels,1,0,0,USD,0.00,0.00,Search
solar bear,Broad match,None,G_S_NB_Generic_FL,Solar Installation,solar installation,4,0,0,USD,0.00,0.00,Search
seller wants me to assume solar lease,Broad match,None,G_S_NB_Generic_FL,Solar Leasing/Financing,solar lease vs buy,1,0,0,USD,0.00,0.00,Search
solar panels for manufactured homes,Broad match,None,G_S_NB_Generic_FL,Solar Low Cost,cheapest solar panels,1,0,0,USD,0.00,0.00,Search
solor,Exact match,Added,G_S_NB_Generic_FL,Solar - list,[solor],5,0,0,USD,0.00,0.00,Search
solar company tampa,Broad match,None,G_S_NB_Generic_FL,Florida,solar panels florida,1,0,0,USD,0.00,0.00,Search
6kw solar system,Phrase match (close variant),None,G_S_NB_Generic_FL,Solar Panels,solar panels,1,0,0,USD,0.00,0.00,Search
momentum solar reviews,Phrase match (close variant),None,G_S_NB_Generic_FL,Solar - list,energy solar,1,0,0,USD,0.00,0.00,Search
buy solar panels in florida,Exact match (close variant),None,G_S_NB_Generic_FL,Florida,[solar in florida],1,0,0,USD,0.00,0.00,Search
greenkey solar,Phrase match,None,G_S_NB_Generic_FL,Solar - list,solar,1,0,0,USD,0.00,0.00,Search
energybillcruncher,Broad match,None,G_S_NB_Generic_FL,Solar - list,solar power,1,0,0,USD,0.00,0.00,Search
costco solar panels,Broad match,None,G_S_NB_Generic_FL,Solar Cost,solar panel cost,2,0,0,USD,0.00,0.00,Search
pace program solar,Broad match,None,G_S_NB_Generic_FL,Florida,florida solar program,1,0,0,USD,0.00,0.00,Search
higher power solar reviews,Broad match,None,G_S_NB_Generic_FL,Solar Panels,solar panels brands,1,0,0,USD,0.00,0.00,Search
solar power system for home,Exact match,Added,G_S_NB_Generic_FL,Home/Residential Solar,[solar power system for home],2,0,0,USD,0.00,0.00,Search
home batteries for solar panels,Phrase match,None,G_S_NB_Generic_FL,Solar Panels,solar panels,1,0,0,USD,0.00,0.00,Search
voltage solar power,Broad match,None,G_S_NB_Generic_FL,Solar - list,solar energy,1,0,0,USD,0.00,0.00,Search
solar generators,Broad match,None,G_S_NB_Generic_FL,Florida,solar panels florida,1,0,0,USD,0.00,0.00,Search
tesla solar panels vs others,Broad match,None,G_S_NB_Generic_FL,Solar Cost,solar panel cost,1,0,0,USD,0.00,0.00,Search
energy programs near me,Broad match,None,G_S_NB_Generic_FL,Solar Cost,no cost solar program,2,0,0,USD,0.00,0.00,Search
solar roofing,Exact match,Added,G_S_NB_Generic_FL,Solar Products,[solar roofing],4,1,1,USD,17.29,0.00,Search
titan solar,Broad match,None,G_S_NB_Generic_FL,Solar Incentives/Credits,best solar deal,1,0,0,USD,0.00,0.00,Search
solar panels for sheds,Broad match,None,G_S_NB_Generic_FL,Florida,solar panels florida,1,0,0,USD,0.00,0.00,Search
best solar lease,Broad match,None,G_S_NB_Generic_FL,Solar Products,solar roofing,1,1,1,USD,13.54,0.00,Search
zienic,Broad match,None,G_S_NB_Generic_FL,Solar Panels,solar panels,1,0,0,USD,0.00,0.00,Search
how much does solar panels cost,Exact match,Added,G_S_NB_Generic_FL,Solar Cost,[how much does solar panels cost],9,0,0,USD,0.00,0.00,Search
enium,Broad match,None,G_S_NB_Generic_FL,Solar - list,solar,2,0,0,USD,0.00,0.00,Search
5000 watt solar panel price,Broad match,None,G_S_NB_Generic_FL,Solar Products,solar inverter for home,1,0,0,USD,0.00,0.00,Search
solar electric panels cost,Phrase match (close variant),None,G_S_NB_Generic_FL,Solar Panels,solar panels,1,0,0,USD,0.00,0.00,Search
ppa solar program,Broad match,None,G_S_NB_Generic_FL,Florida,florida solar program,3,0,0,USD,0.00,0.00,Search
4000 watt solar system,Broad match,None,G_S_NB_Generic_FL,Solar Companies,solar companies near me,1,0,0,USD,0.00,0.00,Search
solar rebates florida,Exact match,Added,G_S_NB_Generic_FL,Florida,[solar rebates florida],2,0,0,USD,0.00,0.00,Search
personal solar panels,Phrase match (close variant),None,G_S_NB_Generic_FL,Solar Panels,solar panels,2,0,0,USD,0.00,0.00,Search
placa solar,Broad match,None,G_S_NB_Generic_FL,Solar Systems,solar electric system,1,0,0,USD,0.00,0.00,Search
home battery backup system cost,Broad match,None,G_S_NB_Generic_FL,Solar Panels,solar panel systems,1,0,0,USD,0.00,0.00,Search
thermophotovoltaic cells,Broad match,None,G_S_NB_Generic_FL,Solar Products,new solar cell technology,1,0,0,USD,0.00,0.00,Search
how much does it cost to install tesla solar panels,Phrase match,None,G_S_NB_Generic_FL,Solar - list,solar,1,0,0,USD,0.00,0.00,Search
spartan solar reviews,Broad match,None,G_S_NB_Generic_FL,Solar Panels,solar panels,5,0,0,USD,0.00,0.00,Search
solar backup system,Broad match,None,G_S_NB_Generic_FL,Solar Cost,solar power cost,1,0,0,USD,0.00,0.00,Search
windmar reviews,Broad match,None,G_S_NB_Generic_FL,Florida,best solar companies in florida,1,0,0,USD,0.00,0.00,Search
suntuity solar,Broad match,None,G_S_NB_Generic_FL,Solar - list,solar,1,0,0,USD,0.00,0.00,Search
esa solar,Broad match,None,G_S_NB_Generic_FL,Solar Cost,solar panel prices,1,0,0,USD,0.00,0.00,Search
solar panel tiles,Phrase match (close variant),None,G_S_NB_Generic_CA,Solar - list,"""solar shingles""",1,0,0,USD,0.00,0.00,Search
pv solar panels,Exact match,Added,G_S_NB_Generic_CA,Solar Panels,[pv solar panels],2,0,0,USD,0.00,0.00,Search
solar companies visalia,Phrase match (close variant),None,G_S_NB_Generic_CA,Solar - list,"""solar near me""",1,0,0,USD,0.00,0.00,Search
how much do solar panels cost for a 3000 square foot house,Phrase match (close variant),None,G_S_NB_Generic_CA,Solar Incentives/Credits,"""best solar deal""",2,0,0,USD,0.00,0.00,Search
metal roof solar,Phrase match (close variant),None,G_S_NB_Generic_CA,Solar - list,"""solar power solar""",1,0,0,USD,0.00,0.00,Search
solar panels tax credit 2024,Phrase match (close variant),None,G_S_NB_Generic_CA,Solar Incentives/Credits,"""tax credit for installing solar panels""",1,0,0,USD,0.00,0.00,Search
dac sash program,Broad match,None,G_S_NB_Generic_CA,Solar Incentives/Credits,solar saver program,1,0,0,USD,0.00,0.00,Search
solar canopy,Broad match,None,G_S_NB_Generic_CA,Solar Panels,solar panels,1,0,0,USD,0.00,0.00,Search
electricity solar plans,Phrase match (close variant),None,G_S_NB_Generic_CA,Solar - list,"""solar electricity""",1,0,0,USD,0.00,0.00,Search
solar tiles vs panels,Phrase match,None,G_S_NB_Generic_CA,Solar Panels,"""solar tiles""",1,0,0,USD,0.00,0.00,Search
can you install solar panels by yourself,Phrase match (close variant),None,G_S_NB_Generic_CA,Solar - list,"""solar powar""",1,0,0,USD,0.00,0.00,Search
is it worth getting solar,Exact match (close variant),None,G_S_NB_Generic_CA,Solar - list,[is going solar worth it],1,0,0,USD,0.00,0.00,Search
qcells solar panels,Phrase match,None,G_S_NB_Generic_CA,Solar - list,"""solar""",4,0,0,USD,0.00,0.00,Search
how to calculate solar panel output,Exact match (close variant),None,G_S_NB_Generic_CA,Solar Calculator,[how to calculate how much solar you need],1,0,0,USD,0.00,0.00,Search
igs financing,Phrase match (close variant),None,G_S_NB_Generic_CA,Solar Leasing/Financing,"""solar financing""",1,0,0,USD,0.00,0.00,Search
solar panel cost per panel,Phrase match (close variant),None,G_S_NB_Generic_CA,Solar Calculator,"""solar cost estimator""",1,0,0,USD,0.00,0.00,Search
best solar panels energysage,Phrase match (close variant),None,G_S_NB_Generic_CA,Solar Panels,solar panel,1,0,0,USD,0.00,0.00,Search
solar panel installation galveston tx,Phrase match (close variant),None,G_S_NB_Generic_TX,Solar - list,"""going solar""",1,0,0,USD,0.00,0.00,Search
solar panels cost for a house,Exact match (close variant),None,G_S_NB_Generic_TX,Solar Cost,"""how much does solar panels cost for a house""",1,0,0,USD,0.00,0.00,Search
patriot power,Broad match,None,G_S_NB_Generic_TX,Solar Systems,solar power systems,1,0,0,USD,0.00,0.00,Search
number of solar panels needed,Exact match (close variant),None,G_S_NB_Generic_TX,Solar Calculator,[how to determine how many solar panels i need],2,0,0,USD,0.00,0.00,Search
san antonio solar panels,Phrase match,None,G_S_NB_Generic_TX,Solar Panels,"""solar panels""",1,0,0,USD,0.00,0.00,Search
30kw solar system,Phrase match (close variant),None,G_S_NB_Generic_TX,Solar Cost,"""solar system price""",1,0,0,USD,0.00,0.00,Search
how much does it cost for solar panels on your house,Phrase match,None,G_S_NB_Generic_TX,Solar Panels,"""solar panels""",1,0,0,USD,0.00,0.00,Search
how expensive are solar panels,Exact match (close variant),None,G_S_NB_Generic_TX,Solar Calculator,"""solar installation cost estimator""",1,0,0,USD,0.00,0.00,Search
how much is it to get solar panels on my house,Exact match (close variant),None,G_S_NB_Generic_TX,Solar Cost,[how much to put solar panels on roof],1,0,0,USD,0.00,0.00,Search
how much will solar panels cost me,Exact match (close variant),None,G_S_NB_Generic_TX,Solar Calculator,[solar cost calculator],1,1,1,USD,31.74,0.00,Search
bang solar reviews,Phrase match (close variant),None,G_S_NB_Generic_TX,Solar - list,"""solar energy""",1,0,0,USD,0.00,0.00,Search
ashley solar,Phrase match,None,G_S_NB_Generic_TX,Solar - list,"""solar""",1,0,0,USD,0.00,0.00,Search
powur solar,Phrase match (close variant),None,G_S_NB_Generic_TX,Solar - list,"""solar powar""",4,0,0,USD,0.00,0.00,Search
qcell 400 price,Phrase match (close variant),None,G_S_NB_Generic_TX,Solar Panels,"""solar panel""",1,0,0,USD,0.00,0.00,Search
lumio solar sales,Phrase match (close variant),None,G_S_NB_Generic_TX,Solar - list,"""solar powar""",1,0,0,USD,0.00,0.00,Search
sunpower solar panels price,Phrase match (close variant),None,G_S_NB_Generic_TX,Solar - list,"""buy solar""",1,0,0,USD,0.00,0.00,Search
anova solar,Phrase match (close variant),None,G_S_NB_Generic_TX,Solar Systems,"""solar power system""",1,0,0,USD,0.00,0.00,Search
cost for solar panels for house,Exact match (close variant),None,G_S_NB_Generic_TX,Solar Cost,[cost of solar panels for home],1,0,0,USD,0.00,0.00,Search
solar sales texas,Phrase match (close variant),None,G_S_NB_Generic_TX,Solar - list,"""solar power in texas""",1,0,0,USD,0.00,0.00,Search
50w solar panel,Phrase match (close variant),None,G_S_NB_Generic_TX,Solar Panels,"""high wattage solar panels""",2,0,0,USD,0.00,0.00,Search
400w solar panels for sale,Phrase match (close variant),None,G_S_NB_Generic_TX,Solar Panels,"""the best solar panels""",1,0,0,USD,0.00,0.00,Search
evs with solar panels,Phrase match (close variant),None,G_S_NB_Generic_TX,Solar - list,"""solar electric""",1,0,0,USD,0.00,0.00,Search
sun value,Broad match,None,G_S_NB_Generic_TX,Solar Panels,solar energy solar panels,1,0,0,USD,0.00,0.00,Search
15000 watt solar system,Phrase match (close variant),None,G_S_NB_Generic_TX,Solar Cost,"""solar system price""",1,0,0,USD,0.00,0.00,Search
sun city solar,Phrase match,None,G_S_NB_Generic_TX,Solar - list,"""solar""",1,0,0,USD,0.00,0.00,Search
cheap solar panels for house,Phrase match (close variant),None,G_S_NB_Generic_TX,Solar Systems,"""solar energy system""",2,0,0,USD,0.00,0.00,Search
solar panels fort worth,Phrase match (close variant),None,G_S_NB_Generic_TX,Solar Incentives/Credits,"""solar power offers""",4,1,1,USD,24.56,0.00,Search
vivint solar energy,Phrase match (close variant),None,G_S_NB_Generic_TX,Solar Panels,"""solar pv""",1,0,0,USD,0.00,0.00,Search
solar power energy cost,Exact match (close variant),None,G_S_NB_Generic_TX,Solar Cost,"""solar power cost""",1,0,0,USD,0.00,0.00,Search
solar panels for low income,Phrase match (close variant),None,G_S_NB_Generic_TX,Solar - list,"""solar powar""",1,0,0,USD,0.00,0.00,Search
solar in san antonio,Phrase match (close variant),None,G_S_NB_Generic_TX,Solar Panels,"""get solar panels""",1,0,0,USD,0.00,0.00,Search
can you write off solar panels on your taxes,Exact match (close variant),None,G_S_NB_Generic_TX,Solar Incentives/Credits,"""how much tax credit do you get for solar panels""",1,0,0,USD,0.00,0.00,Search
solar estimate org,Exact match,Added,G_S_NB_Generic_TX,Solar Quotes/Estimates,[solar estimate org],15,0,0,USD,0.00,0.00,Search
agile solar,Phrase match (close variant),None,G_S_NB_Generic_TX,Solar - list,"""solar powar""",1,0,0,USD,0.00,0.00,Search
san antonio solar,Exact match,Added,G_S_NB_Generic_TX,TX - San Antonio,[san antonio solar],4,0,0,USD,0.00,0.00,Search
solar panels worth it,Exact match (close variant),None,G_S_NB_Generic_TX,Solar Calculator,"""is solar worth it""",1,0,0,USD,0.00,0.00,Search
is solar panels a good idea,Exact match (close variant),None,G_S_NB_Generic_TX,Solar - list,[benefits of solar energy],1,0,0,USD,0.00,0.00,Search
grid tied solar,Phrase match (close variant),None,G_S_NB_Generic_TX,Solar Panels,"""solar panel""",1,0,0,USD,0.00,0.00,Search
iq solar panels,Phrase match (close variant),None,G_S_NB_Generic_TX,Solar Panels,"""solar pannels""",1,0,0,USD,0.00,0.00,Search
solar panels el paso tx,Phrase match (close variant),None,G_S_NB_Generic_TX,Texas,"""solar texas""",1,0,0,USD,0.00,0.00,Search
solar rebate 2024,Phrase match (close variant),None,G_S_NB_Generic_TX,Solar Panels,"""solar panel programs""",1,0,0,USD,0.00,0.00,Search
solar panels calculator,Exact match,Added,G_S_NB_Generic_TX,Solar Calculator,[solar panels calculator],10,0,0,USD,0.00,0.00,Search
how much can i expect to pay for solar panels,Exact match (close variant),None,G_S_NB_Generic_TX,Solar Cost,[how much does it cost to get solar panels],1,0,0,USD,0.00,0.00,Search
whole house solar system with battery backup,Phrase match (close variant),None,G_S_NB_Generic_TX,Solar - list,"""buy solar""",1,0,0,USD,0.00,0.00,Search
sunrun solar reviews,Phrase match (close variant),None,G_S_NB_Generic_TX,Solar - list,"""solar energy""",1,0,0,USD,0.00,0.00,Search
are solar panels really worth it,Exact match (close variant),None,G_S_NB_Generic_TX,Solar Panels,[are solar panels worth it],1,0,0,USD,0.00,0.00,Search
can hoa prevent solar panels in texas,Phrase match (close variant),None,G_S_NB_Generic_TX,Texas,solar laws in texas,1,0,0,USD,0.00,0.00,Search
pretty solar panels,Phrase match (close variant),None,G_S_NB_Generic_TX,Solar Panels,"""sun panel""",1,0,0,USD,0.00,0.00,Search
sunshine solar,Phrase match (close variant),None,G_S_NB_Generic_TX,Solar - list,"""solar powar""",1,0,0,USD,0.00,0.00,Search
6.6 kwh solar system,Phrase match (close variant),None,G_S_NB_Generic_TX,Solar Cost,"""solar system price""",1,0,0,USD,0.00,0.00,Search
how many solar panels do i need for 2000 kwh per month,Phrase match (close variant),None,G_S_NB_Generic_TX,Solar Calculator,"""solar panel cost calculator""",1,0,0,USD,0.00,0.00,Search
srp approved solar installers,Broad match,None,G_S_NB_Generic_TX,Home/Residential Solar,solar panels residential,1,0,0,USD,0.00,0.00,Search
best efficiency solar panels,Phrase match (close variant),None,G_S_NB_Generic_TX,Solar - list,"""best solar power""",1,0,0,USD,0.00,0.00,Search
green lease solar,Phrase match (close variant),None,G_S_NB_Generic_TX,Solar - list,"""solar energy""",1,0,0,USD,0.00,0.00,Search
cost of residential solar panels,Phrase match (close variant),None,G_S_NB_Generic_TX,Solar Calculator,"""solar cost estimator""",2,0,0,USD,0.00,0.00,Search
best energy buy back rates,Phrase match (close variant),None,G_S_NB_Generic_TX,Solar Incentives/Credits,"""solar buyback""",1,0,0,USD,0.00,0.00,Search
residential solar cost per watt,Phrase match (close variant),None,G_S_NB_Generic_TX,Solar Calculator,"""solar cost estimator""",1,0,0,USD,0.00,0.00,Search
san antonio solar company,Exact match (close variant),None,G_S_NB_Generic_TX,TX - San Antonio,"""san antonio solar""",1,0,0,USD,0.00,0.00,Search
san antonio solar panel installer,Phrase match (close variant),None,G_S_NB_Generic_TX,Texas,"""solar panels in tx""",1,0,0,USD,0.00,0.00,Search
cost of solar panels for 5 bedroom house,Phrase match (close variant),None,G_S_NB_Generic_TX,Solar Cost,"""solar panels cost""",1,0,0,USD,0.00,0.00,Search
300 watt solar panel,Phrase match (close variant),None,G_S_NB_Generic_TX,Solar Panels,"""best solar cells""",1,0,0,USD,0.00,0.00,Search
shield energy solar,Phrase match (close variant),None,G_S_NB_Generic_TX,Solar - list,"""solar electric energy""",1,0,0,USD,0.00,0.00,Search
sunpower san antonio,Phrase match (close variant),None,G_S_NB_Generic_TX,TX - San Antonio,"""solar san antonio""",1,0,0,USD,0.00,0.00,Search
can i buy and install my own solar panels,Phrase match,None,G_S_NB_Generic_TX,Solar Panels,"""solar panels""",1,0,0,USD,0.00,0.00,Search
most efficient solar panels 2024,Phrase match (close variant),None,G_S_NB_Generic_TX,Solar Panels,"""whats the best solar panel""",1,0,0,USD,0.00,0.00,Search
heloc for solar,Phrase match (close variant),None,G_S_NB_Generic_TX,Solar Leasing/Financing,"""financing solar""",1,0,0,USD,0.00,0.00,Search
how much is a solar panel installation,Exact match (close variant),None,G_S_NB_Generic_TX,Solar Cost,[how much do solar panels cost to install],1,0,0,USD,0.00,0.00,Search
solar interconnection,Phrase match (close variant),None,G_S_NB_Generic_TX,Solar - list,"""solar power""",1,0,0,USD,0.00,0.00,Search
sunrun ppa,Phrase match (close variant),None,G_S_NB_Generic_TX,Solar - list,"""solar electric""",1,0,0,USD,0.00,0.00,Search
ts energy,Phrase match (close variant),None,G_S_NB_Generic_TX,Solar Companies,"""solar company""",1,0,0,USD,0.00,0.00,Search
how does the solar tax credit work,Exact match,Added,G_S_NB_Generic_TX,Solar Incentives/Credits,[how does the solar tax credit work],16,0,0,USD,0.00,0.00,Search
solar electric costs,Exact match (close variant),None,G_S_NB_Generic_TX,Solar Cost,[cost of solar panels],1,0,0,USD,0.00,0.00,Search
sunpower m440 price,Phrase match (close variant),None,G_S_NB_Generic_TX,Solar - list,"""solar power solar""",1,0,0,USD,0.00,0.00,Search
best solar panels on the market,Exact match (close variant),None,G_S_NB_Generic_TX,Solar Panels,"""best solar panels available""",1,0,0,USD,0.00,0.00,Search
how do i get form 5695,Phrase match (close variant),None,G_S_NB_Generic_TX,Solar Incentives/Credits,"""tax form for solar credit""",1,0,0,USD,0.00,0.00,Search
green solar,Phrase match,None,G_S_NB_Generic_TX,Solar - list,"""solar""",1,0,0,USD,0.00,0.00,Search
txu solar incentives,Phrase match (close variant),None,G_S_NB_Generic_TX,Solar Incentives/Credits,"""solar program""",1,0,0,USD,0.00,0.00,Search
how much does it cost to install solar,Exact match,Added,G_S_NB_Generic_TX,Solar Cost,[how much does it cost to install solar],2,0,0,USD,0.00,0.00,Search
houston solar panels,Exact match (close variant),None,G_S_NB_Generic_TX,TX - Houston,[houston solar],2,0,0,USD,0.00,0.00,Search
solar install company near me,Exact match (close variant),None,G_S_NB_Generic_TX,Solar Systems,[solar systems near me],1,0,0,USD,0.00,0.00,Search
how many solar panels needed for a 2000 sq ft home,Phrase match (close variant),None,G_S_NB_Generic_TX,Solar Calculator,"""how much solar power to run a house""",1,0,0,USD,0.00,0.00,Search
highest output solar panels,Exact match (close variant),None,G_S_NB_Generic_TX,Solar Panels,[solar panels highest wattage],1,0,0,USD,0.00,0.00,Search
where do you buy solar panels,Exact match (close variant),None,G_S_NB_Generic_TX,Solar Panels,[where to buy solar panels],1,0,0,USD,0.00,0.00,Search
green solar loan,Phrase match,None,G_S_NB_Generic_TX,Solar Leasing/Financing,solar loan,1,0,0,USD,0.00,0.00,Search
solar power san antonio,Phrase match (close variant),None,G_S_NB_Generic_TX,Texas,"""solar energy texas""",1,0,0,USD,0.00,0.00,Search
solar panel lease agreement,Phrase match,None,G_S_NB_Generic_TX,Solar Panels,"""solar panel""",1,0,0,USD,0.00,0.00,Search
costco solar,Phrase match (close variant),None,G_S_NB_Generic_TX,Solar Panels,"""buy solar power panels""",1,0,0,USD,0.00,0.00,Search
costco solar,Phrase match (close variant),None,G_S_NB_Generic_TX,Solar Panels,"""solar power panel""",3,0,0,USD,0.00,0.00,Search
blink solar panel only,Phrase match (close variant),None,G_S_NB_Generic_TX,Solar Panels,"""buy solar power panels""",1,0,0,USD,0.00,0.00,Search
can you put solar panels on a manufactured home,Phrase match (close variant),None,G_S_NB_Generic_TX,Solar Panels,"""solar panel house""",1,0,0,USD,0.00,0.00,Search
nrg energy houston,Phrase match (close variant),None,G_S_NB_Generic_TX,Texas,"""solar energy companies texas""",1,0,0,USD,0.00,0.00,Search
solar inverter with battery,Phrase match (close variant),None,G_S_NB_Generic_TX,Solar Systems,"""solar energy system""",1,0,0,USD,0.00,0.00,Search
tesla solar roof estimate,Phrase match (close variant),None,G_S_NB_Generic_TX,Solar Cost,"""solar panels on roof cost""",1,0,0,USD,0.00,0.00,Search
installer solar panels,Phrase match (close variant),None,G_S_NB_Generic_TX,Solar Panels,"""solar panel system""",1,0,0,USD,0.00,0.00,Search
what is the average electric bill with solar panels,Phrase match (close variant),None,G_S_NB_Generic_TX,Solar Cost,"""how much should i pay for solar panels""",2,0,0,USD,0.00,0.00,Search
how many solar panels for a 2000 square foot house,Phrase match (close variant),None,G_S_NB_Generic_TX,Solar Calculator,"""solar panels calculator""",1,0,0,USD,0.00,0.00,Search
how many solar panels to generate 10 kw,Phrase match (close variant),None,G_S_NB_Generic_TX,Solar Cost,"""how much solar""",1,0,0,USD,0.00,0.00,Search
solar switch dallas,Broad match,None,G_S_NB_Generic_TX,Solar Panels,solar panel system,1,0,0,USD,0.00,0.00,Search
meraki solar,Broad match,None,G_S_NB_Generic_TX,Texas,solar companies in texas,1,0,0,USD,0.00,0.00,Search
how much are solar panels in texas,Exact match,Added,G_S_NB_Generic_TX,Texas,[how much are solar panels in texas],64,4,4,USD,63.01,0.00,Search
renewable energy for homes,Broad match,None,G_S_NB_Generic_TX,Solar Panels,solar panels,1,0,0,USD,0.00,0.00,Search
solar energy in texas,Phrase match (close variant),None,G_S_NB_Generic_TX,Solar Panels,"""solar pv""",1,0,0,USD,0.00,0.00,Search
greyco solar,Phrase match (close variant),None,G_S_NB_Generic_TX,Texas,"""solar in tx""",1,0,0,USD,0.00,0.00,Search
solar panels distributors in usa,Phrase match (close variant),None,G_S_NB_Generic_TX,Solar - list,"""buy solar""",1,0,0,USD,0.00,0.00,Search
solar as a service,Phrase match,None,G_S_NB_Generic_TX,Solar - list,"""solar""",1,0,0,USD,0.00,0.00,Search
solar panels and powerwall,Phrase match (close variant),None,G_S_NB_Generic_TX,Solar - list,"""solar power energy""",1,0,0,USD,0.00,0.00,Search
solar programs california,Phrase match (close variant),None,G_S_NB_Generic_CA,Solar - list,"""solar power programs""",1,0,0,USD,0.00,0.00,Search
gridsolar org,Phrase match (close variant),None,G_S_NB_Generic_CA,Solar - list,"""solar powar""",1,0,0,USD,0.00,0.00,Search
nem3 0 california,Exact match (close variant),None,G_S_NB_Generic_CA,CA - NEM 3.0,[new nem 3.0],1,0,0,USD,0.00,0.00,Search
solar tax credit 2024,Phrase match (close variant),None,G_S_NB_Generic_CA,Solar Incentives/Credits,"""solar panel tax rebate""",1,0,0,USD,0.00,0.00,Search
solar system at home,Phrase match (close variant),None,G_S_NB_Generic_CA,Solar - list,"""buy solar""",1,0,0,USD,0.00,0.00,Search
envision solar,Phrase match,None,G_S_NB_Generic_CA,Solar - list,solar,1,0,0,USD,0.00,0.00,Search
best solar loan companies,Exact match (close variant),None,G_S_NB_Generic_CA,Solar Leasing/Financing,"""solar financing companies""",1,0,0,USD,0.00,0.00,Search
tesla powerwall 2 price,Phrase match (close variant),None,G_S_NB_Generic_CA,Solar Cost,"""solar panel battery price""",4,0,0,USD,0.00,0.00,Search
federal solar power programs,Phrase match,None,G_S_NB_Generic_CA,Solar - list,"""solar power programs""",1,0,0,USD,0.00,0.00,Search
whole house solar system,Exact match,Added,G_S_NB_Generic_CA,Home/Residential Solar,[whole house solar system],1,0,0,USD,0.00,0.00,Search
inexpensive solar generators,Phrase match (close variant),None,G_S_NB_Generic_CA,Solar Low Cost,"""low cost solar""",1,0,0,USD,0.00,0.00,Search
solar purchase vs lease,Phrase match (close variant),None,G_S_NB_Generic_CA,Solar - list,"""buy solar""",1,0,0,USD,0.00,0.00,Search
15000 watt solar system,Phrase match (close variant),None,G_S_NB_Generic_CA,Solar Cost,"""solar system price""",1,0,0,USD,0.00,0.00,Search
residential solar financing,Exact match (close variant),None,G_S_NB_Generic_CA,Solar Leasing/Financing,[financing solar panels],1,0,0,USD,0.00,0.00,Search
goldrush solar,Phrase match (close variant),None,G_S_NB_Generic_CA,Solar Companies,"""best solar companies""",1,0,0,USD,0.00,0.00,Search
solar roofing tiles and shingles,Phrase match (close variant),None,G_S_NB_Generic_CA,Solar - list,"""solar shingles""",1,0,0,USD,0.00,0.00,Search
40kw solar system,Phrase match (close variant),None,G_S_NB_Generic_CA,Solar Cost,"""solar system price""",1,0,0,USD,0.00,0.00,Search
solar energy house,Exact match (close variant),None,G_S_NB_Generic_CA,Solar Installation,"""solar installation for home""",1,0,0,USD,0.00,0.00,Search
battery storage for solar,Phrase match (close variant),None,G_S_NB_Generic_CA,Solar - list,"""solar equipment""",4,0,0,USD,0.00,0.00,Search
