Search terms report
"January 17, 2024 - February 15, 2024"
Search term,Match type,Added/Excluded,Campaign,Ad group,Keyword,Impr.,Interactions,Clicks,Currency code,Cost,Conversions,Campaign type
24kw solar system cost,Exact match,Added,G_S_NB_Generic_CA,Solar Cost,[24kw solar system cost],1,0,0,USD,0.00,0.00,Search
solar loan calculator,Phrase match (close variant),None,G_S_NB_Generic_CA,Solar Leasing/Financing,"""solar loans""",2,0,0,USD,0.00,0.00,Search
hanwha q peak duo,Phrase match (close variant),None,G_S_NB_Generic_CA,Solar - list,"""solar""",1,0,0,USD,0.00,0.00,Search
sun power solar,Phrase match (close variant),None,G_S_NB_Generic_CA,Solar Panels,solar panels,1,0,0,USD,0.00,0.00,Search
are solar panels cost effective,Broad match,None,G_S_NB_Generic_CA,Solar Low Cost,cheapest solar panels,1,0,0,USD,0.00,0.00,Search
roof solar,Phrase match (close variant),None,G_S_NB_Generic_CA,Solar Panels,"""solar panel roof""",1,0,0,USD,0.00,0.00,Search
va guidelines for solar panels,Broad match,None,G_S_NB_Generic_CA,Solar Calculator,how much solar do i need,1,0,0,USD,0.00,0.00,Search
what is the cost of one solar panel,Phrase match (close variant),None,G_S_NB_Generic_CA,Solar Calculator,"""solar cost estimator""",1,0,0,USD,0.00,0.00,Search
best solar panel companies,Exact match,Added,G_S_NB_Generic_CA,Solar Companies,[best solar panel companies],4,0,0,USD,0.00,0.00,Search
pros and cons of solar,Exact match (close variant),None,G_S_NB_Generic_CA,Solar - list,[solar energy pros and cons],1,0,0,USD,0.00,0.00,Search
24 panel solar system,Broad match,None,G_S_NB_Generic_CA,Solar Low Cost,affordable solar,1,0,0,USD,0.00,0.00,Search
solar panels for 700 square foot house,Phrase match (close variant),None,G_S_NB_Generic_CA,Solar Low Cost,"""affordable solar panels""",1,0,0,USD,0.00,0.00,Search
solar estimate org,Exact match,Added,G_S_NB_Generic_CA,Solar Quotes/Estimates,[solar estimate org],13,0,0,USD,0.00,0.00,Search
average monthly electric bill with solar panels,Phrase match (close variant),None,G_S_NB_Generic_CA,Solar Systems,"""solar energy system""",1,0,0,USD,0.00,0.00,Search
solar service,Phrase match,None,G_S_NB_Generic_CA,Solar - list,"""solar""",1,0,0,USD,0.00,0.00,Search
california solar incentives 2024,Phrase match (close variant),None,G_S_NB_Generic_CA,Solar Incentives/Credits,"""solar program""",2,0,0,USD,0.00,0.00,Search
solar panel roofing sheets cost,Phrase match (close variant),None,G_S_NB_Generic_CA,Solar Panels,"""solar power roof panels""",1,0,0,USD,0.00,0.00,Search
solar panels california price,Phrase match (close variant),None,G_S_NB_Generic_CA,Solar Cost,"""solar panels cost""",3,0,0,USD,0.00,0.00,Search
ever bright solar reviews,Phrase match (close variant),None,G_S_NB_Generic_CA,Solar Panels,"""solar panel reviews""",4,0,0,USD,0.00,0.00,Search
gaf timberline solar,Phrase match (close variant),None,G_S_NB_Generic_CA,Solar Panels,"""roof solar panels""",1,0,0,USD,0.00,0.00,Search
everest solar,Phrase match (close variant),None,G_S_NB_Generic_CA,Solar Panels,solar panel system,1,0,0,USD,0.00,0.00,Search
tesla powerwall 3 price,Broad match,None,G_S_NB_Generic_CA,Solar Panels,solar panel best,1,0,0,USD,0.00,0.00,Search
solar panel bill calculator,Phrase match (close variant),None,G_S_NB_Generic_CA,Solar Panels,"""solar panels""",1,0,0,USD,0.00,0.00,Search
solar battery 5kw,Phrase match (close variant),None,G_S_NB_Generic_CA,Solar - list,"""buy solar""",1,0,0,USD,0.00,0.00,Search
cost of solar house,Exact match (close variant),None,G_S_NB_Generic_CA,Solar Cost,[solar panels cost],1,0,0,USD,0.00,0.00,Search
qcell vs sunpower,Phrase match (close variant),None,G_S_NB_Generic_CA,Solar - list,"""solar energy""",2,0,0,USD,0.00,0.00,Search
projectsolar,Broad match,None,G_S_NB_Generic_CA,Solar Panels,solar panels system,2,0,0,USD,0.00,0.00,Search
flex energy solar,Phrase match (close variant),None,G_S_NB_Generic_CA,Solar - list,solar,1,0,0,USD,0.00,0.00,Search
top solar company,Exact match (close variant),None,G_S_NB_Generic_CA,Solar - list,"""best solar""",1,0,0,USD,0.00,0.00,Search
california solar panels rebate,Phrase match (close variant),None,G_S_NB_Generic_CA,Solar Cost,"""solar savings""",1,0,0,USD,0.00,0.00,Search
solar world panels,Phrase match,None,G_S_NB_Generic_CA,Solar - list,"""solar""",2,0,0,USD,0.00,0.00,Search
california solar rebates 2024,Phrase match (close variant),None,G_S_NB_Generic_CA,Solar - list,"""solar programs""",2,0,0,USD,0.00,0.00,Search
home solar battery system,Phrase match (close variant),None,G_S_NB_Generic_CA,Solar - list,"""buy solar""",1,0,0,USD,0.00,0.00,Search
solar panel cost 2024,Phrase match (close variant),None,G_S_NB_Generic_CA,Solar Cost,"""how much solar panels cost""",1,0,0,USD,0.00,0.00,Search
20kw solar battery,Phrase match (close variant),None,G_S_NB_Generic_CA,Solar Cost,"""solar panel battery price""",1,0,0,USD,0.00,0.00,Search
common solar panel problems,Phrase match (close variant),None,G_S_NB_Generic_CA,Solar - list,"""solar information""",1,0,0,USD,0.00,0.00,Search
solar wattage calculator,Phrase match (close variant),None,G_S_NB_Generic_CA,Solar Cost,"""how much solar""",1,0,0,USD,0.00,0.00,Search
solar thermal system,Phrase match (close variant),None,G_S_NB_Generic_CA,Solar - list,solar energy,1,0,0,USD,0.00,0.00,Search
southern california solar companies,Exact match (close variant),None,G_S_NB_Generic_CA,California,[best solar companies in southern california],1,0,0,USD,0.00,0.00,Search
nueenergy,Phrase match (close variant),None,G_S_NB_Generic_CA,Solar Companies,"""solar energy company""",1,0,0,USD,0.00,0.00,Search
how much does it cost to buy solar panels,Exact match (close variant),None,G_S_NB_Generic_CA,Solar Cost,[how much does solar panels cost],1,1,1,USD,4.94,0.00,Search
how much do solar generators cost,Phrase match,None,G_S_NB_Generic_CA,Solar - list,"""solar""",1,0,0,USD,0.00,0.00,Search
nexus solar,Phrase match,None,G_S_NB_Generic_CA,Solar - list,"""solar""",1,0,0,USD,0.00,0.00,Search
solar lease vs ppa,Broad match,None,G_S_NB_Generic_CA,Solar Panels,solar panels,1,0,0,USD,0.00,0.00,Search
self install solar panels,Phrase match (close variant),None,G_S_NB_Generic_CA,Solar - list,"""solar power solar""",1,0,0,USD,0.00,0.00,Search
best way to finance solar panels,Exact match (close variant),None,G_S_NB_Generic_CA,Solar Leasing/Financing,"""financing for solar panels""",1,0,0,USD,0.00,0.00,Search
how much does pge pay for solar power,Phrase match (close variant),None,G_S_NB_Generic_CA,Solar Cost,"""how much solar""",3,0,0,USD,0.00,0.00,Search
how much do solar panels cost for a 1500 square foot house,Phrase match (close variant),None,G_S_NB_Generic_CA,Solar Cost,"""how much does it cost to go solar""",1,0,0,USD,0.00,0.00,Search
